YEARMONTH,Customers,Scaled_Customers,PctDiff,tValue
201807,51,51.171140939597315,-0.0033444816053511605,-0.12188361769793747
201808,47,48.16107382550336,-0.02410813823857307,-0.8785777442393037
201809,42,42.14093959731544,-0.0033444816053512,-0.12188361769793891
201810,37,35.11744966442953,0.053607262302914516,1.9536202722440907
201811,41,40.13422818791946,0.02157190635451509,0.7861493341517005
201812,46,47.15771812080537,-0.024549918166939466,-0.8946776192720977
201901,35,35.11744966442953,-0.0033444816053511328,-0.12188361769793646
201902,45,45.1510067114094,-0.0033444816053512893,-0.12188361769794216
201903,50,40.13422818791946,0.2458193979933111,8.958445900798433
201904,47,30.1006711409396,0.5614269788182831,20.460196624227162
201905,55,57.191275167785236,-0.03831485067183009,-1.3963158308202357
201906,41,41.13758389261745,-0.003344481605351167,-0.12188361769793771
