YEARMONTH,Total_Sales,Scaled_Control,PctDiff,tValue
201807,296.8,297.56555006627303,-0.0025727106719931813,-0.02583393810364298
201808,255.5,292.6521870104832,-0.12694997221788185,-1.2747712987077189
201809,225.20000000000002,233.99891553199183,-0.03760237739558601,-0.37758520643706783
201810,204.5,190.08573322087,0.0758303452599536,0.7614522951023504
201811,245.3,216.5974213760694,0.1325157910079431,1.3306606063099369
201812,267.3,286.40812146041696,-0.06671640930775,-0.669934480902364
201901,204.4,181.69207133389565,0.12498029495394972,1.2549927355468822
201902,235.0,249.76262200265094,-0.0591066104458747,-0.5935204966487237
201903,278.5,203.80220508495,0.36652103388142454,3.6804300639217193
201904,263.5,162.34570430172312,0.6230795950737283,6.256669227522174
201905,299.3,352.53379925292205,-0.15100339135065444,-1.5163043042732494
201906,264.7,226.21942402699122,0.17010288191882889,1.708092313131262
